user_id,session_id,session_size,click_article_id
0,1506825423271737,2,157541
0,1506825423271737,2,68866
1,1506825426267738,2,235840
1,1506825426267738,2,96663
2,1506825435299739,2,119592
2,1506825435299739,2,30970
3,1506825442704740,2,236065
3,1506825442704740,2,236294
4,1506825528135741,2,48915
4,1506825528135741,2,44488
5,1506825541144742,3,168868
5,1506825541144742,3,207122
5,1506825541144742,3,286413
6,1506825553218743,2,202436
6,1506825553218743,2,288431
7,1506825568239744,2,235840
7,1506825568239744,2,284847
8,1506825573366745,3,332114
8,1506825573366745,3,284847
8,1506825573366745,3,114161
9,1506825599159746,2,284346
9,1506825599159746,2,285412
10,1506825602208747,3,198420
10,1506825602208747,3,198322
10,1506825602208747,3,202436
11,1506825617272748,2,207122
11,1506825617272748,2,119592
12,1506825617293749,3,288431
12,1506825617293749,3,159359
12,1506825617293749,3,119592
13,1506825621205750,2,255575
13,1506825621205750,2,255340
14,1506825636288751,2,96663
14,1506825636288751,2,145166
15,1506825653139752,2,119592
15,1506825653139752,2,108854
16,1506825660149753,7,237620
16,1506825660149753,7,162286
16,1506825660149753,7,157132
16,1506825660149753,7,207122
16,1506825660149753,7,206233
16,1506825660149753,7,256163
16,1506825660149753,7,338351
17,1506825696288754,3,264013
17,1506825696288754,3,157861
17,1506825696288754,3,348103
18,1506825700426755,6,286421
18,1506825700426755,6,286420
18,1506825700426755,6,286414
18,1506825700426755,6,286417
18,1506825700426755,6,286410
18,1506825700426755,6,168868
19,1506825709160756,2,284847
19,1506825709160756,2,119592
20,1506825727279757,2,157541
20,1506825727279757,2,157485
21,1506825728148758,2,313504
21,1506825728148758,2,140720
22,1506825782127759,4,168868
22,1506825782127759,4,119592
22,1506825782127759,4,96663
22,1506825782127759,4,270225
23,1506825787353760,3,272947
23,1506825787353760,3,159359
23,1506825787353760,3,2137
24,1506825812326761,4,162286
24,1506825812326761,4,287174
24,1506825812326761,4,161498
24,1506825812326761,4,69341
25,1506825826220762,2,128289
25,1506825826220762,2,129960
26,1506825860299763,3,119592
26,1506825860299763,3,4658
26,1506825860299763,3,168868
27,1506825868353764,2,108854
27,1506825868353764,2,97600
28,1506825877393765,2,108854
28,1506825877393765,2,61599
29,1506825911153766,2,96663
29,1506825911153766,2,288431
30,1506825913295767,2,96663
30,1506825913295767,2,284847
31,1506825923327768,2,207122
31,1506825923327768,2,338351
32,1506825956252769,3,288431
32,1506825956252769,3,235840
32,1506825956252769,3,351615
33,1506825976358770,2,272947
33,1506825976358770,2,108854
34,1506825996401771,2,202436
34,1506825996401771,2,119592
35,1506825999118772,2,308807
35,1506825999118772,2,106933
36,1506826036259773,2,283908
36,1506826036259773,2,159359
37,1506826038340774,2,284847
37,1506826038340774,2,168701
38,1506826053208775,3,145166
38,1506826053208775,3,283908
38,1506826053208775,3,277681
39,1506826064238776,2,119592
39,1506826064238776,2,284847
40,1506826064131777,2,119592
40,1506826064131777,2,144829
41,1506826103264778,3,286418
41,1506826103264778,3,284845
41,1506826103264778,3,286413
42,1506826126337779,3,145166
42,1506826126337779,3,284346
42,1506826126337779,3,157861
43,1506826132213780,2,145166
43,1506826132213780,2,119592
44,1506826139185781,5,108854
44,1506826139185781,5,72624
44,1506826139185781,5,114161
44,1506826139185781,5,157541
44,1506826139185781,5,119592
45,1506826142324782,2,157541
45,1506826142324782,2,157485
46,1506826144339783,2,207122
46,1506826144339783,2,207129
47,1506826146134784,2,300537
47,1506826146134784,2,96663
48,1506826150213785,2,119592
48,1506826150213785,2,272947
49,1506826151147786,2,283904
49,1506826151147786,2,331293
50,1506826204226787,2,96663
50,1506826204226787,2,284847
51,1506826213422788,2,284847
51,1506826213422788,2,288431
52,1506826213210789,2,160474
52,1506826213210789,2,207122
53,1506826240211790,3,284847
53,1506826240211790,3,236682
53,1506826240211790,3,119592
54,1506826244355791,2,119592
54,1506826244355791,2,32608
55,1506826259314792,2,161927
55,1506826259314792,2,207122
56,1506826269338793,3,288431
56,1506826269338793,3,97600
56,1506826269338793,3,119592
57,1506826282355794,2,119592
57,1506826282355794,2,108854
58,1506826319383795,2,119592
58,1506826319383795,2,168701
59,1506826329267796,2,234853
59,1506826329267796,2,234995
60,1506826334134797,3,168868
60,1506826334134797,3,106886
60,1506826334134797,3,78346
61,1506826358370798,2,284847
61,1506826358370798,2,288431
62,1506826370156799,2,209723
62,1506826370156799,2,251735
63,1506826373294800,2,284847
63,1506826373294800,2,108854
64,1506826382352801,16,119592
64,1506826382352801,16,236294
64,1506826382352801,16,235840
64,1506826382352801,16,235325
64,1506826382352801,16,293182
64,1506826382352801,16,292980
64,1506826382352801,16,293264
64,1506826382352801,16,168868
64,1506826382352801,16,293285
64,1506826382352801,16,157132
64,1506826382352801,16,4243
64,1506826382352801,16,68866
64,1506826382352801,16,331813
64,1506826382352801,16,158964
64,1506826382352801,16,30970
64,1506826382352801,16,234853
65,1506826383407802,2,68866
65,1506826383407802,2,156718
66,1506826385396803,2,205897
66,1506826385396803,2,166552
67,1506826394155804,2,207122
67,1506826394155804,2,110687
68,1506826396181805,5,272660
68,1506826396181805,5,313504
68,1506826396181805,5,59758
68,1506826396181805,5,175040
68,1506826396181805,5,199198
69,1506826396322806,2,119592
69,1506826396322806,2,217852
70,1506826416120807,3,119592
70,1506826416120807,3,144829
70,1506826416120807,3,136590
71,1506826433150808,2,119592
71,1506826433150808,2,168701
72,1506826442379809,2,270847
72,1506826442379809,2,270850
73,1506826444147810,3,145119
73,1506826444147810,3,144938
73,1506826444147810,3,237620
74,1506826451174811,2,205859
74,1506826451174811,2,119592
75,1506826456277812,2,251222
75,1506826456277812,2,251735
76,1506826463226813,2,157541
76,1506826463226813,2,284845
77,1506826465366814,2,288431
77,1506826465366814,2,210017
78,1506826479281815,3,108854
78,1506826479281815,3,207122
